Rank,Artist Name,Album Name,Track Name
1,Creedence Clearwater Revival,,Fortunate Son (Official Music Video)
2,AC/DC,,You Shook Me All Night Long (Official Video)
3,The Beatles,,Come Together
4,The Rolling Stones,,(I Can't Get No) Satisfaction (Mono Version)
5,Derek & The Dominos,Layla and Other Assorted Love Songs,Layla
6,Led Zeppelin,,Whole Lotta Love
7,Lynyrd Skynyrd,Second Helping,Sweet Home Alabama
8,Boston,Boston,More Than a Feeling
9,Journey,,Don't Stop Believin' (Official Audio)
10,Queen,,Bohemian Rhapsody
11,The Rolling Stones,,Start Me Up
12,Tom Petty,,Refugee
13,Fleetwood Mac,Fleetwood Mac,Rhiannon
14,Kansas,,Carry on Wayward Son (Official Video)
15,The Who,,Baba O'Riley (Remix)
16,Meat Loaf,,Paradise By The Dashboard Light
17,Aerosmith,,Dream On
18,John Mellencamp,American Fool,Jack & Diane
19,Foghat,Fool For The City,Slow Ride
20,AC/DC,,Back In Black (Official Video)
21,Black Sabbath,,Paranoid
22,The Animals,The Animals,House Of The Rising Sun
23,Fleetwood Mac,Rumours,Dreams (2004 Remaster)
24,Queen,,We Will Rock You
25,Eagles,Eagles,Take It Easy
26,ZZ Top,Tres Hombres,La Grange (2005 Remaster)
27,The Beatles,Let It Be (Super Deluxe),Get Back (2021 Mix)
28,Creedence Clearwater Revival,,Have You Ever Seen the Rain
29,George Harrison,,My Sweet Lord (Official Music Video)
30,The Beatles,,Here Comes the Sun (2019 Mix)
31,Queen,,Another One Bites the Dust
32,Elton John,,Rocket Man (Official Music Video)
33,AC/DC,,Highway to Hell (Official Video)
34,Led Zeppelin,,Stairway To Heaven - Remaster (Visualizer)
35,Dire Straits,,Walk of Life
36,Kansas,,Dust in the Wind (Official Video)
37,Lynyrd Skynyrd,Pronounced' Leh-'Nerd 'Skin-'Nerd,Free Bird
38,Billy Joel,,Piano Man (Official HD Video)
39,Queen,,Under Pressure (Rah Mix)
40,ZZ Top,,Gimme All Your Lovin'
41,Bob Seger & The Silver Bullet Band,Stranger In Town,Old Time Rock & Roll
42,Pink Floyd,Wish You Were Here,Wish You Were Here
43,Dire Straits,,Sultans of Swing - Video Version
44,Heart,,Baracuda
45,Steely Dan,Can't Buy A Thrill,Do It Again
46,The Police,,Roxanne
47,The Band,Music From Big Pink,The Weight
48,Ozzy Osbourne,,Crazy Train
49,The Beatles,The Beatles 1967 - 1970,Hey Jude (Remastered 2009)
50,Meat Loaf,,Two Out Of Three Ain't Bad (PCM Stereo)
51,The Hollies,,Long Cool Woman (Live)
52,Cream,Wheels Of Fire,White Room
53,George Harrison,,Got My Mind Set on You
54,Supertramp,The Very Best of Supertramp,The Logical Song
55,The Beatles,,Twist & Shout - Performed Live On The Ed Sullivan Show 2/23/64
56,Tom Petty,,Free Fallin'
57,Eric Clapton,Slowhand,Cocaine
58,The Rolling Stones,Beggars Banquet (50th Anniversary Edition),Sympathy For The Devil (50th Anniversary Edition)
59,Steppenwolf,The Second,Magic Carpet Ride
60,Rush,,Tom Sawyer
61,David Bowie,,Heroes
62,REO Speedwagon,,Keep On Loving You
63,Cream,Disraeli Gears (Deluxe Edition),Sunshine Of Your Love
64,Creedence Clearwater Revival,,Proud Mary
65,Blue Oyster Cult,,(Don't Fear) The Reaper (Audio)
66,Steely Dan,Can't Buy A Thrill,Reelin' In The Years
67,Santana,,Black Magic Woman
68,Creedence Clearwater Revival,,Bad Moon Rising
69,Pink Floyd,The Wall,Another Brick In The Wall (Part 2)
70,Bob Dylan,,Knockin' On Heaven's Door (Official Audio)
71,Bruce Springsteen,,Glory Days (Official Video)
72,Led Zeppelin,Physical Graffiti,Kashmir
73,Steve Miller Band,,The Joker
74,The Kinks,,You Really Got Me
75,Boston,,Foreplay / Long Time (Official Audio)
76,The Who,Who's Next (Deluxe Edition),Won't Get Fooled Again
77,Fleetwood Mac,Rumours (Deluxe),Go Your Own Way (2004 Remaster)
78,Journey,,Wheel in the Sky
79,The Doobie Brothers,Toulouse Street,Listen to the Music
80,Pink Floyd,The Dark Side of the Moon,Money
81,J. Geils Band,,Centerfold (Official Music Video)
82,Bob Seger,,Night Moves
83,John Mellencamp,,Hurts So Good
84,Tom Petty And The Heartbreakers,Tom Petty & The Heartbreakers,American Girl
85,The Marshall Tucker Band,,Can't You See
86,Styx,,Come Sail Away
87,Steppenwolf,Steppenwolf,Born To Be Wild
88,The Rolling Stones,Sticky Fingers,Brown Sugar
89,Steve Miller Band,Fly Like An Eagle,Rock'n Me
90,Electric Light Orchestra,,Don't Bring Me Down (Official Video)
91,Bruce Springsteen,,Hungry Heart
92,Jackson Browne,,Running On Empty
93,Bad Company,,Feel Like Makin’ Love
94,David Bowie,,"Changes (50th Anniversary Mix, Lyric Video)"
95,Van Halen,,Runnin' With The Devil
96,Joe Walsh,,Life's Been Good
97,John Mellencamp,,Pink Houses
98,Jethro Tull,,Aqualung
99,Steve Miller Band,Fly Like An Eagle,Take The Money And Run
100,The Cars,,Just What I Needed
